text,label,,,,,"0=negative, 1=neutral, 2=positive"
Mæt­um brjálaðar í leik­inn,0,,,,,
Þetta var erfitt and­lega,0,,,,,
Nem­end­ur ósátt­ir: „Ég er svo sorg­mædd­ur“,0,,,,,
Ísland krafðist leyni­legr­ar kosn­ing­ar,1,,,,,
Arn­ar sá rautt á öm­ur­leg­um lokakafla,0,,,,,
Gam­all nýnas­isti legg­ur til breyt­ing­ar á Íslandi,1,,,,,
Veit ekki hvað ger­ist,1,,,,,
Ætla bara að segja það upp­hátt,1,,,,,
Arn­ar fær ekki leik­bann,2,,,,,
Við lent­um á vegg,0,,,,,
Regína fór næst­um á svið óum­beðin: „Aldrei komið fyr­ir mig áður“,0,,,,,
Ísland fer upp um eitt sæti,2,,,,,
Svala Björg­vins: „Reyndi allt til að við mynd­um ekki gera þetta“,1,,,,,
Ísland spil­ar bara fyr­ir heiður­inn og kannski skömm­ina,1,,,,,
Björk vill að Ísland sniðgangi Eurovisi­on,0,,,,,
Eng­in strokleðursguðfræði,1,,,,,
Elsk­ar Ísland en seg­ir að ekk­ert jafn­ist á við Bras­il­íu,0,,,,,
„Kynþrosk­inn er svo Svarti–Pét­ur­inn“,1,,,,,
Ætlum að vinna þær aft­ur,1,,,,,
Heils­an fín en auðvitað þreyta,1,,,,,
Deilt um kosn­ingalof­orð á þingi,1,,,,,
Svart­fjalla­land reynd­ist Íslandi erfitt,0,,,,,
Þetta ger­ist þegar við mæt­um ekki til leiks,1,,,,,
Þorska­stríðin fléttuðust óvænt inn,1,,,,,
Hefði verið krafta­verk að kom­ast þangað,1,,,,,
Þráir að fara til Íslands,0,,,,,
Markvörður­inn þeirra sagði að ég væri pirr­andi,0,,,,,
Of­uráhersla á skandala og dóms­mál,0,,,,,
Kröfðu ís­lenska liðið um af­sök­un­ar­beiðni,0,,,,,
Um­fang landa­mæra­eft­ir­lits­ins stór­eykst,0,,,,,
„Kannski er ég að fara að hitta ein­hverja konu“,1,,,,,
Mynd­skeið: Tilþrif Mart­ins,1,,,,,
Fjór­ir hand­tekn­ir í tveim­ur stór­um fíkni­efna­mál­um,0,,,,,
Það var brekka and­lega,0,,,,,
Fleiri börn og meiri neysla: Tólf ára jafn­vel í vanda,0,,,,,
Sím­inn hækk­ar verð um ára­mót,1,,,,,
„Sorg­legt að hugsa til þeirr­ar stöðu sem fé­lagið er komið í“,0,,,,,
Þátt­taka Ísra­els í Eurovi­son rædd í Genf,1,,,,,
Þá eig­um við góða mögu­leika,2,,,,,
Munu „elta rúss­neska kaf­báta“ við Ísland,1,,,,,
Þarf að hafa áhyggj­ur af Kína?,1,,,,,
Dor­rit lamdi inn­brotsþjóf í klessu,0,,,,,
Ruglaðasta augna­blik fer­ils­ins,0,,,,,
Högni lif­ir draum­inn í Hollywood,2,,,,,
Með káp­una á báðum öxl­um,1,,,,,
Loka­verk­efni í meist­ara­námi á miðju HM,1,,,,,
Ævin­týri jóla­sveins­ins á Íslandi slær í gegn á TikT­ok,1,,,,,
Það er mjög skrítið,0,,,,,
Seg­ir son­inn fara aðrar leiðir,1,,,,,
Get­um klár­lega stolið ein­hverj­um stig­um,2,,,,,
Get­um unnið öll þessi lið,2,,,,,
Búin að læra mjög mikið á stutt­um tíma,2,,,,,
Sló sex­tán ára gam­alt Íslands­met,2,,,,,
Vit­um ná­kvæm­lega hvernig Ísland spil­ar,1,,,,,
Snorri vill senda hæl­is­leit­end­ur til þriðju ríkja,1,,,,,
Væri stór­slys að tapa fyr­ir Íslandi,0,,,,,
Hrólf­ur kem­ur sér í ótrú­leg­ustu vand­ræði,0,,,,,
Ser­bar skelltu Spán­verj­um í Dort­mund,1,,,,,
All­ir aðrir komu vel und­an riðlakeppn­inni,1,,,,,
Ísland áfram í A-deild eft­ir stór­sig­ur,1,,,,,
Vild­um skrifa þann kafla í sög­una,1,,,,,
Öflug­ir Bret­ar lögðu Íslend­inga í Laug­ar­daln­um,1,,,,,
Ljóst hver mót­herj­inn er á þriðju­dag­inn,1,,,,,
Maður fór í gegn­um all­ar þess­ar til­finn­ing­ar,1,,,,,
Ógeðslega mikið högg,0,,,,,
Ísland er fal­legt en ískalt,1,,,,,
Dóm­ar­arn­ir misstu svo­lítið tök­in,0,,,,,
Betra en heima­sig­ur á móti Bretlandi,2,,,,,
Þurf­um að hefna fyr­ir þetta,0,,,,,
Leiktím­ar komn­ir hjá ís­lenska landsliðinu á HM,1,,,,,
Með fangið fullt af ís­sam­lok­um,1,,,,,
Skoða stöðuna eft­ir dreif­ingu frétt­ar­inn­ar,1,,,,,
Að verja full­veldið,1,,,,,
In­sta­gram: Sunn­eva Eir og Birgitta Líf toppuðu sig,1,,,,,
Ótrú­leg sala á sjón­vörp­um,2,,,,,
„Tákn um sam­stöðu og framtíðar­sýn“,1,,,,,
Ilm­ur­inn af epl­un­um minn­ir á jól­in,1,,,,,
Fær­ey­ing­arn­ir fögnuðu sínu liði,1,,,,,
Hæstirétt­ur á grammið,1,,,,,
Þor­gerður opnaði nýtt sendi­ráð Íslands á Spáni,1,,,,,
Gest­ir utan ESB greiða hærra miðaverð,1,,,,,
Gær­kvöldið var erfitt og þungt,0,,,,,
Frá­bær til­finn­ing að vera á toppn­um,2,,,,,
Fékk gæsa­húð um all­an lík­amann,0,,,,,
Yf­ir­vegaðir og sterk­ir,2,,,,,
Mynd­ir: Alþjóðleg­ur sam­stöðufund­ur í Nor­ræna hús­inu,1,,,,,
Stór áskor­un á morg­un,1,,,,,
Nokkr­ir leik­menn Íslands brotnuðu niður,0,,,,,
For­set­inn brjálaður eft­ir leik­inn við Ísland,0,,,,,
Hvers vegna var pen­inga­seðill á vell­in­um?,1,,,,,
Minnt­um hana á að hún er geggjuð,0,,,,,
Treysti henni fyr­ir lífi mínu,2,,,,,
Var brjáluð í stúk­unni,0,,,,,
Geðveikt en samt svo öm­ur­legt,0,,,,,
Leik­manna­hóp­ur­inn fyr­ir úr­slita­leik­inn klár,2,,,,,
Milli­færslu­svik auk­ist tals­vert milli ára,0,,,,,
Stór­sig­ur og Ísland í mill­iriðil,2,,,,,
Ísland gegn Fær­eyj­um á HM á þriðju­dag­inn?,1,,,,,
Mjög sér­stak­ur hand­bolti,2,,,,,
For­seta­bik­ar­inn drep­leiðin­leg­ur síðast,0,,,,,
Mynd­skeið: Lýs­and­inn orðlaus í end­ur­komu í riðli Íslands,1,,,,,
Al­freð lagði mikið á sig fyr­ir ís­lensku stelp­urn­ar,1,,,,,
Góður séns á móti Serbíu,2,,,,,
"„Fyrstu jól­in eru alltaf sér­stök, al­veg sama hvernig þau eru“",2,,,,,
Serbnesk­ur miðill fór með rangt mál um Ísland,0,,,,,
Land Rover efn­ir til keppni fyr­ir áhuga­menn,1,,,,,
Hrósaði ís­lenska liðinu,2,,,,,
Býst við rosa­lega erfiðum leik gegn Íslandi,1,,,,,
Bók­un 35 úr nefnd: „Eins og að kyssa vönd­inn“,1,,,,,
Grát­leg­ur end­ir á magnaðri end­ur­komu,0,,,,,
Fær­ey­ing­ar skelltu Spán­verj­um,0,,,,,
„Ég er gráti nær“,1,,,,,
Dí­ana notaði óvenju­leg orð yfir landsliðið,1,,,,,
Öskruðum eins og við gát­um á bekkn­um,1,,,,,
"Útgeisl­un, samstaða og feng­um húsið með",1,,,,,
Arn­ar reifst við Serba: Það var hiti í mér,0,,,,,
Drottn­ing í norðan­streng,1,,,,,
„Við erum mjög brennd í þess­um mála­flokki“,2,,,,,
„Minn­ing­arn­ar brenna eins og síga­retta“,1,,,,,
Rúss­land veit að NATO er til­búið,0,,,,,
Stang­ar­skot­um frá stigi gegn Dön­um,1,,,,,
Ísland stóð vel í sterk­um Þjóðverj­um,2,,,,,
Lék fyrsta leik á stór­móti: Þetta var æðis­legt,2,,,,,
Stjórn Rúv vill vísa Ísra­el úr Eurovisi­on,0,,,,,
Langþráð augna­blik: Þetta var dá­sam­legt,2,,,,,
Tölu­vert öðru­vísi fyr­ir mig en fyr­ir ári,1,,,,,
Tólf marka sig­ur hjá Serbum,1,,,,,
"Fæðuör­yggi, fisk­eldi og 250 millj­arðar",1,,,,,
Rutte heim­sæk­ir Ísland í dag,1,,,,,
„Þetta er ekki hefðbundið ís­lenskt landslið“,1,,,,,
Fæl­ing­ar­mátt­ur í að byggja upp innviði,1,,,,,
Munu neyðast til að hætta rekstri,1,,,,,
Lengi að ná sér niður og sofnuðu seint,1,,,,,
Seg­ir Ísland einnig á fremstu víg­línu,1,,,,,
Mikið adrenalín eft­ir leik,1,,,,,
Ræddi stöðu Íslands við ut­an­rík­is­mála­nefnd,1,,,,,
Magnaður sig­ur Íslands á Ítal­íu,1,,,,,
Án efa stærsti leik­ur sem ég hef spilað,1,,,,,
Bjó aðeins í einn mánuð á Íslandi,1,,,,,
Get­um náð í góð úr­slit,2,,,,,
Úr torf­kofa til met­orða,2,,,,,
Tæpu leik­menn­irn­ir æfðu í dag,1,,,,,
Ástæðan fyr­ir því að maður er í þessu,1,,,,,
Krútt­í­búð til leigu í Frederiks­berg,1,,,,,
Ný keppni í skugga sam­starfsslita,1,,,,,
Það vill eng­inn lesa leiðin­leg­ar bæk­ur,1,,,,,
Brosti út að eyr­um og hringdi í mömmu og pabba,2,,,,,
Stærsti styrk­ur í sögu Sjáv­ar­klas­ans,1,,,,,
Skrítn­ar vill­ur í texta um Ísland,1,,,,,
Sjokk og spenna að vera val­in,2,,,,,
Krefj­andi fyrsti leik­ur í Stutt­g­art,0,,,,,
25 Íslend­ing­ar gegn 6.000 Þjóðverj­um,1,,,,,
Gul viðvör­un vegna storms og hríðar,1,,,,,
Alls ekki það fyrsta sem ég hugsaði,1,,,,,
Tveir lyk­il­menn fjar­ver­andi hjá Íslandi,1,,,,,
Sjóður tengd­ur stofn­anda Walmart styrk­ir Sjáv­ar­klas­ann,1,,,,,
Ætla að senda skýr skila­boð gegn Íslandi,1,,,,,
Þjóðverj­inn hrósaði ís­lenska liðinu,2,,,,,
Það verða all­ir á móti manni,0,,,,,
Ný hljóm­plötu­verk­smiðja,1,,,,,
Ísland fær­ist nær hringiðu er­lendra brota­hópa,0,,,,,
Glæsi­leg­ur ár­ang­ur í Finn­landi,2,,,,,
„Búið að vera að ljúga að okk­ur alla ævi“,0,,,,,
Stór­leik­ur Mart­ins og Styrm­ir fagnaði,2,,,,,
At­huga­semd frá mennta­málaráðherra,1,,,,,
Stutt stopp við Skóga­foss vek­ur at­hygli,1,,,,,
Sig­ur nær­ir lík­ama og sál,2,,,,,
Ugla út­gáfa í tutt­ugu ár,1,,,,,
Skipt­ar skoðanir um hóf­legt sam­komu­lag,1,,,,,
"„Gjör rétt, þol ei órétt!“",1,,,,,
„Ursula von der Leyen er ekki dóm­stóll“,0,,,,,
„Marg­ir eru með þetta í blóðinu“,1,,,,,
Grund­vallarágrein­ing­ur en já­kvæð þróun,1,,,,,
Markverðasti sig­ur­inn frá und­ir­rit­un Par­ís­arsátt­mál­ans,2,,,,,
Fer beint upp í rúm eft­ir þetta viðtal,1,,,,,
Púls­inn í 150 all­an leik­inn,1,,,,,
„Spennt og þakk­lát fyr­ir tæki­færið“,2,,,,,
Landsliðsmaður­inn úlnliðsbrot­inn,1,,,,,
Regína Ósk frum­flyt­ur nýtt jóla­lag,1,,,,,
„Hver er þessi dreng­ur?!“,1,,,,,
„Rík­is­stjórn­in á ekki að blekkja þjóðina“,1,,,,,
Standa und­ir 37-41% af fólks­fjölg­un á Íslandi,1,,,,,
Nei við ESB í Nor­egi úr 43 í 49%,0,,,,,
Funda með Þor­gerði Katrínu í næstu viku,1,,,,,
Safna gögn­um frá fyr­ir­tækj­um,1,,,,,
Mynd­skeið: Ný landsliðstreyja Íslands,1,,,,,
Skipu­lagðir brota­hóp­ar finna alltaf nýj­ar leiðir,0,,,,,
Alls kon­ar öðru­vísi áreiti,1,,,,,
"Nem­end­ur söfnuðu 4,4 millj­ón­um fyr­ir Ljósið og Gasa",1,,,,,
Þriggja daga tolla­stríð,1,,,,,
Valþröng í varn­ar­mál­um,0,,,,,
Allt annað en mill­iriðill von­brigði,2,,,,,
For­dóm­ar emb­ætt­is­manna út­skýri aðgerðal­eysi,0,,,,,
Hátíðar­höld frá morgni til kvölds,2,,,,,
Guðni Th. fékk fólk til að hlusta,1,,,,,
Með nýrri stefnu myndi brotaþolum fækka,2,,,,,
Ekki all­ur þar sem hann er séður,1,,,,,
Vill þyngja náms­efni í grunn­skól­um,1,,,,,
„Yf­ir­leitt hef­ur fólk tekið mér vel“,2,,,,,
Jón deildi dýr­mætu mömm­uráði um ást­ina,1,,,,,
Ísland stend­ur í stað – Heim­ir upp um þrjú sæti,1,,,,,
„Þessi ákvörðun er í raun skemmd­ar­verk“,0,,,,,
Stjórn­völd ekki var­fær­in: „Al­gjör­lega frá­leitt“,0,,,,,
„Þarna ætla ég bara að stoppa ykk­ur af strák­ar“,1,,,,,
Ísland í verri mál­um,0,,,,,
„Ég hoppaði og öskraði úr gleði“,2,,,,,
Sænsku meist­ar­arn­ir kaupa þá efni­leg­ustu af FH,2,,,,,
Setj­um R í staðinn fyr­ir S,1,,,,,
Mik­ill áhugi á upp­bygg­ingu á Bakka,2,,,,,
Ákvörðun ESB ekki for­dæm­is­gef­andi,1,,,,,
Daði: Kann ekki að meta „pissa í skó­inn“ hag­fræði,1,,,,,
Fjöldi dval­ar­leyf­is­hafa fimm­faldaðist frá 2017,1,,,,,
Vest­ur­lönd eru að missa af lest­inni,0,,,,,
Loðnu- og þorskafli minnkað ár frá ári,0,,,,,
Mik­il kergja og óánægja í Brus­sel,0,,,,,
Dan­mörk studdi Ísland,2,,,,,
Kjara­deilu flug­um­ferðar­stjóra vísað í gerðardóm,0,,,,,
Fer ekki með landsliðinu til Fær­eyja,0,,,,,
And­lát: Daniel Cornic,0,,,,,
ESB virði ekki EES-samn­ing­inn meira en raun ber vitni,0,,,,,
Vont tap og Ísland úr leik,0,,,,,
Þarf að bregðast við af full­um þunga,1,,,,,
Ákvörðun ESB á mjög gráu svæði,1,,,,,
Jafn­gild­ir um 90-230 millj­örðum króna á Íslandi,1,,,,,
Skoða áfram hvort taka skuli upp nýj­an gjald­miðil,1,,,,,
Arn­ar: Stund­um þarftu að fara í gegn­um ástarsorg,0,,,,,
Skora á Lilju í for­manns­fram­boð,1,,,,,
Kristrún: Þetta er ekki okk­ur að skapi,0,,,,,
Markaðssetja smygl til lands­ins á In­sta­gram og TikT­ok,0,,,,,
Óvænt úr­slit í riðli Íslands,1,,,,,
Ísland fékk mik­inn skell í Portúgal,0,,,,,
„Mér finnst það alltof drama­tískt“,0,,,,,
Gróft brot á samn­ingn­um,1,,,,,
Slógu met Íslands og fara á HM,1,,,,,
Er þjóf­ur með lyk­il að þínum verðmæt­um?,1,,,,,
Ákvörðunin óvænt í ljósi fyrri yf­ir­lýs­inga,1,,,,,
Reynt verði að lág­marka skaðann,1,,,,,
Hags­mun­ir Íslands í hættu,0,,,,,
„Við erum ósam­mála ESB“,0,,,,,
Tek­ur tíma að spila okk­ur sam­an,1,,,,,
Matt­hild­ur kölluð inn í HM-hóp­inn,1,,,,,
Trúnaður nauðsyn­leg­ur á viðkvæmu stigi máls­ins,1,,,,,
Þegar dreng­ur verður að manni,1,,,,,
Arctic Advent­ur­es og Icelandia í samrunaviðræðum,1,,,,,
Hjört­ur og Ragn­heiður Guðfinna fóru sam­an í rétt­ir,1,,,,,
Seg­ir bar­átt­una hafa ruggað bátn­um,0,,,,,
Tylltu sér á topp­inn í riðli Íslands,1,,,,,
Minn­ast ekki orði á það sem enn vant­ar,1,,,,,
Flug­um­ferðar­stjór­ar boða til yf­ir­vinnu­banns,1,,,,,
Vin­sæl sam­fé­lags­miðlastjarna ást­fang­inn af ís­lensk­um vík­ingi,1,,,,,
Spil­um öðru­vísi fót­bolta en áður,1,,,,,
Margt óráðið enn í Evr­ópu,0,,,,,
Ísland og Nor­eg­ur fá ekki und­anþágu,1,,,,,
Und­ir­rit­un frestað vegna ákvörðunar ESB,0,,,,,
For­stjóri Elkem: Nýr veru­leiki tek­inn við,1,,,,,
Íslensk sum­argots­s­íld vottuð til 2030,1,,,,,
Hvet­ur alla flokka til að verja EES-samn­ing­inn,1,,,,,
Guðrún seg­ir ESB hafa sýnt klærn­ar,0,,,,,
Sig­mund­ur harðorður og kall­ar ESB hnign­un­ar­banda­lag,0,,,,,
Hrika­lega fal­leg­ur og skemmti­leg­ur völl­ur,2,,,,,
Alþingi til­nefn­ir tals­menn fatlaðra í fyrsta skipti,1,,,,,
Spöruðu sér 460 millj­arða á Íslandi,2,,,,,
Menn eiga að vera hrædd­ir og stressaðir,0,,,,,
Yrði stór­slys að tapa fyr­ir Íslandi,0,,,,,
Reyn­um að vinna en ekki hefna,2,,,,,
Við skild­um allt sem þær sögðu,1,,,,,
Leik­ur­inn sner­ist á einu augna­bliki,1,,,,,
Mjög þakk­lát fyr­ir stuðning Íslands,2,,,,,
20.000 Úkraínu­menn – 200 Íslend­ing­ar,1,,,,,
Mörk í lok­in og draum­ur Íslands úti,1,,,,,
„Við mun­um fara á EM 2028“,1,,,,,
„Íslenska kýr­in er forn­býliskyn“,1,,,,,
Gagn­rýndi Arn­ar: Mis­tök að velja ekki Gylfa,0,,,,,
„Þá leið mér eins og hann væri karl­inn í tungl­inu“,1,,,,,
Ákvörðun um kís­il­járn frestað aft­ur,1,,,,,
Ráðuneytið skaut­ar fram hjá óþægi­legri staðreynd,1,,,,,
Heim­ir: „Augna­blikið minnti á leik­inn gegn Aust­ur­ríki“,1,,,,,
At­kvæðagreiðslunni ekki frestað aft­ur,1,,,,,
Útil­ok­ar ekki heim­komu til Íslands,1,,,,,
Frétta­skýr­ing: Vind­átt­in í lofts­lags­mál­um breyt­ist,1,,,,,
Fleiri stofn­ar kol­munna en áður var talið,1,,,,,
Ekki for­sendu­brest­ur fyr­ir Evr­ópuþreif­ing­um,1,,,,,
Már Gunn­ars­son:  „Ég átti bara ekki pen­ing fyr­ir fimm­tíu flug­miðum“,0,,,,,
Hinn franski Fré­déric Gro­bost verður gesta­kokk­ur á Skreið,1,,,,,
Ísland yrði í þriðja flokki í um­spil­inu,1,,,,,
Lif­andi sam­eign í harðri sam­keppni,2,,,,,
Ákvörðun um kís­il­málm frestað til mánu­dags,1,,,,,
Gaf Sódómu glæ­nýj­an bún­ing,1,,,,,
Örlaga­stund á morg­un,1,,,,,
Get­um ekki beðið um mikið meira,0,,,,,
All­ir heil­ir eft­ir létta æf­ingu,2,,,,,
Vissi ekki af samn­ingn­um við fyr­ir­tækið,1,,,,,
Verður stórt og drama­tískt kvöld,2,,,,,
Mynd­skeið: Svaka­leg­ir takt­ar á lokaæf­ingu fyr­ir Úkraínu­leik­inn,2,,,,,
Tæp­lega 20 þúsund miðar seld­ir - 200 Íslend­ing­ar,2,,,,,
Arn­ar um tapið: Einn besti leik­ur­inn okk­ar,2,,,,,
Gamla ljós­mynd­in: Nýr meðlim­ur í 100 leikja klúbbn­um,1,,,,,
„Þessi borg er al­gjört menn­ing­ar­und­ur“,2,,,,,
Svona er staðan fyr­ir HM og um­spilið,1,,,,,
Auður gef­ur út nýja plötu,1,,,,,
Efla lofts­lagsvæna starf­semi á Grund­ar­tanga,2,,,,,
Sæt­ur sig­ur í Bakú og úr­slita­leik­ur fram und­an,2,,,,,
„Frá­bært af­rek fyr­ir mig og mína fjöl­skyldu“,2,,,,,
Ísland í annað sæti riðils­ins,1,,,,,
Var með stórt úti­svæði til að halda partý,1,,,,,
Frakk­land á HM,1,,,,,
Stýrðum leikn­um með og án bolt­ans,1,,,,,
Geggjað að spila með Jóa Berg,0,,,,,
Fram­leiddu Prada-aug­lýs­ingu á ís­lensk­um jökli,1,,,,,
Stefn­ir í að starf­semi PCC legg­ist af,1,,,,,
Mynd­skeið: Ræða Jó­hanns eft­ir leik­inn,1,,,,,
Allt er þegar þrennt er,1,,,,,
M-gjöf­in: Tveir landsliðsmenn fengu tvö M,1,,,,,
Þjálf­ari Aser­baís­j­ans: Dóm­ar­inn var á móti okk­ur,0,,,,,
Úrvals­deild­ar­dóm­ar­ar í úr­slita­leik Íslands í Var­sjá,1,,,,,
Fór afar fögr­um orðum um Jó­hann Berg,2,,,,,
„Þar erum við að sumu leyti eft­ir­bát­ar“,0,,,,,
Seg­ir fundi Kristrún­ar og Þor­gerðar hafa skilað ár­angri,2,,,,,
Fund­in­um frestað til mánu­dags,1,,,,,
Vill feta í fót­spor föður síns,1,,,,,
Arn­ar verið í vand­ræðum með svefn,0,,,,,
Leggja beri áherslu á inn­an­rík­is­mál­in,1,,,,,
Minn­ing­ar sem eru ómet­an­leg­ar,2,,,,,
Skýr stefna – sterk­ara Ísland,2,,,,,
Netör­yggi vax­andi út­flutn­ings­vara,1,,,,,
Allt opið ef við ger­um okk­ar,1,,,,,
Náum ekki ár­angri ef við erum skatt­lögð upp í rjáf­ur,1,,,,,
Ísland tek­ur þátt í 63 millj­arða stuðningi,1,,,,,
Þyrst­ir í mitt fyrsta stór­mót,2,,,,,
Íslensk hug­mynd heill­ar í yfir 30 lönd­um: „Við stefn­um hátt“,2,,,,,
EES-samn­ing­ur­inn að ein­hverju leyti í upp­námi,0,,,,,
Nefnd­in kölluð sam­an ef þörf þykir,1,,,,,
Nýtt met sett,2,,,,,
Þá fær þjálf­ar­inn að finna fyr­ir því,1,,,,,
Kristrún ræður Karl til að stýra stór­fjárfest­ing­um,1,,,,,
Jó­hann Berg gaf það í skyn,1,,,,,
„Þá get­um við gleymt því að PCC opni aft­ur“,1,,,,,
Úrgang­ur sem verður að verðmæt­um,1,,,,,
Ísland með miklu meiri gæði en Aser­baíd­sj­an,2,,,,,
Vildi horfa á Eng­lands­leik­inn fræga á Íslandi,2,,,,,
Lík­legt að ósam­ræmið skerði svefn lands­manna,0,,,,,
Æfði ekki með ís­lenska liðinu,0,,,,,
Ísland aft­ar­lega í þróun gervi­greind­ar,0,,,,,
Vals­menn ræddu við fyrr­ver­andi landsliðshetju,1,,,,,
Ferðaðist ekki með liðinu – Logi verið veik­ur,0,,,,,
Hætti næst­um við að fara til Jerúsalem,1,,,,,
Hanna: „Við lít­um þetta mál al­var­leg­um aug­um“,1,,,,,
Við erum sig­ur­strang­legri,2,,,,,
Samn­ing­ur­inn loks orðinn að lög­um,1,,,,,
„Það mun aldrei ger­ast á minni vakt“,0,,,,,
Skemmti­leg­asti lands­leik­ur­inn,2,,,,,
Mælti fyr­ir brott­far­ar­stöð á þingi,1,,,,,
Seg­ir ESB brjóta EES-samn­ing­inn,0,,,,,
Eng­in ákvörðun um að höfða mál gegn ESB,1,,,,,
Serbnesk­ur sig­ur í Ólafssal,1,,,,,
Eitt­hvað sem við þurf­um að venj­ast,1,,,,,
Lág­marks virðing að fyr­ir­tæki fái að aðlag­ast,1,,,,,
Arn­ar neitaði að greina frá leynd­ar­mál­inu,0,,,,,
Auðvitað eig­um við mögu­leika,2,,,,,
Al­bert í liði um­ferðar­inn­ar,1,,,,,
Bygg­ir á óskráðum regl­um um óbeðinn er­ind­is­rekst­ur,0,,,,,
Sjá­um til hvort ég fái fyrsta lands­leik­inn,1,,,,,
Hef­ur áhyggj­ur af aukn­um ein­mana­leika ungra manna,0,,,,,
Met­fjöldi kom með farþega­skip­um,1,,,,,
Jó­hann frá­bær leikmaður og stór­kost­leg mann­eskja,2,,,,,
Hrósaði Arn­ari Gunn­laugs­syni í há­stert,2,,,,,
Síðustu for­vöð að bjarga flak­inu,1,,,,,
Eft­ir­sjá­in núna er ekki al­veg jafn mik­il,2,,,,,
Erum á réttri leið og þjóðin tek­ur eft­ir því,2,,,,,
Hrósaði ís­lenska landsliðinu í há­stert,2,,,,,
Um 30 Íslend­ing­ar í Bakú,1,,,,,
Brjóst­mynd af Önnu Borg í Þjóðleik­húsið,1,,,,,
Skoraði á af­mæl­is­deg­in­um og Ísland í A-deild,2,,,,,
Fögnuðu af öllu hjarta í nýju hús­næði,2,,,,,
Hafa ekki hug­mynd um að þau taki þátt í stríði,1,,,,,
Skýrsla OECD sýn­ir fram á vax­andi ein­mana­leika,0,,,,,
Ólétt í drengs­gervi og sökuð um þjófnað áður en hún steig á svið,0,,,,,
